Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,SMA_50,SMA_200,RSI
2022-07-14 08:00:00+01:00,1.000800609588623,1.0048232078552246,1.000800609588623,1.003915309906006,0,0.0,0.0,0.0027105427312628105,1.0043654465675353,1.0183465194702148,32.73446452996308
2022-07-14 09:00:00+01:00,1.0037137269973757,1.0042177438735962,1.0019036531448364,1.0024057626724243,0,0.0,0.0,-0.0015036599389276484,1.0043674564361573,1.0181404310464859,33.56009929696292
2022-07-14 10:00:00+01:00,1.0024057626724243,1.0048232078552246,1.002305269241333,1.0048232078552246,0,0.0,0.0,0.0024116433412706417,1.0044418954849244,1.0179458850622176,45.18382114348772
2022-07-14 11:00:00+01:00,1.0048232078552246,1.0050251483917236,1.001702904701233,1.0020040273666382,0,0.0,0.0,-0.0028056482638412206,1.004455943107605,1.0177372431755065,37.91085004866592
2022-07-14 12:00:00+01:00,1.001702904701233,1.0020040273666382,1.000800609588623,1.0009007453918457,0,0.0,0.0,-0.0011010753895790426,1.0044419050216675,1.0175241738557816,36.05650032043639
2022-07-14 13:00:00+01:00,1.000800609588623,1.001702904701233,1.0005003213882446,1.0006003379821775,0,0.0,0.0,-0.0003001370625921318,1.0044078063964843,1.0173123234510422,35.86542176432745
2022-07-14 14:00:00+01:00,1.0009007453918457,1.001001000404358,0.9955201148986816,0.9983028173446656,0,0.0,0.0,-0.002296142176151039,1.0042895078659058,1.0170889854431153,35.717537818305956
2022-07-14 15:00:00+01:00,0.9977052807807922,1.000100016593933,0.9964129328727722,0.9998000264167786,0,0.0,0.0,0.0014997544293176013,1.004172877073288,1.016869868338108,43.099153593832455
2022-07-14 16:00:00+01:00,1.000300049781799,1.0046212673187256,0.9998999834060668,1.0030090808868408,0,0.0,0.0,0.003209696324537381,1.0041365945339202,1.0166706058382988,52.07614065996594
2022-07-14 17:00:00+01:00,1.0030090808868408,1.003814458847046,0.9990009665489196,0.9990009665489196,0,0.0,0.0,-0.003996089780540557,1.0040120697021484,1.0164491266012192,43.32243063852059
2022-07-14 18:00:00+01:00,0.9996002316474916,1.001702904701233,0.9994003772735596,1.001702904701233,0,0.0,0.0,0.0027046401783246132,1.003905141353607,1.0162378895282744,46.46135159010607
